mean,std,f3,f4,f5,f6
-2.2500519965736505e-17,0.9990436264195568,0,0,0,0
-2.960594732333751e-18,0.999200790362795,0,0,0,0
2.3684757858670008e-17,0.9996566537577736,0,0,0,0
1.4210854715202004e-17,0.9995334190225693,0,0,0,0
7.105427357601002e-18,0.9994087960563728,0,0,0,0
9.473903143468002e-18,0.9993148649926592,0,0,0,0
1.1842378929335004e-17,0.9994292748197369,0,0,0,0
4.0264088359739013e-17,0.9997429784614567,0,0,0,0
2.6053233644537006e-17,0.9990575318232038,0,0,0,0
-2.1316282072803006e-17,0.9993465736887012,0,0,0,0
3.019806626980426e-17,0.9992207191710276,0,0,0,0
-1.6579330501069006e-17,0.9991123074290962,0,0,0,0
4.736951571734001e-18,0.998961736991325,0,0,0,0
1.3026616822268503e-17,0.9995018346936848,0,0,0,0
1.1842378929335004e-17,0.9989369471652328,0,0,0,0
2.960594732333751e-18,0.9994852587004037,0,0,0,0
-2.6053233644537006e-17,0.9991069757829282,0,0,0,0
3.315866100213801e-17,0.9991741062898788,0,0,0,0
9.473903143468002e-18,0.9995740401034354,0,0,0,0
-2.2500519965736505e-17,0.99948326665993,0,0,0,0
-2.0132044179869507e-17,0.9990545921723069,0,0,0,0
0.0,0.9993755526367962,0,0,0,0
-7.697546304067752e-18,0.9995389527367913,0,0,0,0
-7.105427357601002e-18,0.9996772535672616,0,0,0,0
-1.8947806286936004e-17,0.9996279212836382,0,0,0,0
